user,uid,sum,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08
crazy_luke,217709,53,0,0,0,2,0,0,0,0,0,0,50,1
YurixAnd,2413517,51,0,0,15,0,0,0,1,0,0,23,3,9
whatmeinfallible,7150022,50,36,0,0,13,0,1,0,0,0,0,0,0
Goatosm,8578206,50,11,0,0,6,33,0,0,0,0,0,0,0
maraf24,2098272,50,5,0,1,34,9,0,0,0,0,0,1,0
favask,350717,49,30,10,6,3,0,0,0,0,0,0,0,0
Maksibon,2468772,47,5,1,30,0,2,9,0,0,0,0,0,0
gamadril791,4459952,47,0,2,9,3,8,8,4,4,4,2,2,1
bariska,2423163,47,0,0,0,0,0,0,0,20,1,1,11,14
Green_Rally,13664124,46,0,0,0,15,28,0,0,2,1,0,0,0
Seologic,11217676,43,3,1,4,7,4,0,16,1,1,1,5,0
Amonite1025,8792833,43,7,0,1,1,34,0,0,0,0,0,0,0
Svetlana_rocketdata,14108738,43,0,6,0,4,0,29,0,0,2,0,1,1
M10,486950,42,11,3,0,0,0,0,0,0,0,9,8,11
TihiyDon,349954,42,10,0,10,0,4,3,5,9,0,0,0,1
skogvokter,10120237,41,28,0,0,0,6,7,0,0,0,0,0,0
kdg_178,7542335,41,4,3,1,18,6,1,1,0,0,0,3,4
TIGROVEN,2312855,39,27,1,8,3,0,0,0,0,0,0,0,0
Fred73000,8101879,38,0,1,2,1,1,0,0,1,10,12,9,1
PavelSolodkin,12070067,37,15,5,9,6,2,0,0,0,0,0,0,0
mueschel,616774,37,7,6,4,2,1,1,3,3,5,1,3,1
Евген777,8279394,37,14,4,1,3,0,2,11,0,0,2,0,0
Krassihar,953646,37,2,0,0,0,1,1,2,4,11,7,9,0
8639276,14238687,37,0,30,0,0,0,0,1,0,6,0,0,0
Sergey-Locked,3566319,37,0,0,5,10,21,1,0,0,0,0,0,0
Ручейник,14573982,36,0,0,0,25,0,0,0,0,6,0,5,0
Andres3456,16363439,36,0,0,0,0,0,0,0,0,0,1,34,1
HelCat332,6520101,35,1,5,3,3,8,2,4,1,3,0,2,3
vk44455,8754050,35,0,0,0,5,0,0,0,8,19,3,0,0
FvGordon,161619,34,4,3,6,10,1,5,3,1,1,0,0,0
Anoesis,8525987,34,22,0,0,2,10,0,0,0,0,0,0,0
Latentor,731311,34,0,0,9,5,2,0,3,0,0,11,4,0
avlaba,16343758,34,0,0,0,0,0,0,0,0,0,15,17,2
metalokyzmich,11480155,33,5,2,5,4,0,0,0,3,2,6,4,2
landfahrer,1069176,33,0,0,0,19,11,3,0,0,0,0,0,0
Witska,717770,32,3,2,4,2,3,2,2,0,3,3,5,3
arti-by,365633,32,5,4,6,3,2,0,1,3,5,2,1,0
pasha-klm,10850228,32,1,2,2,1,1,0,1,22,1,1,0,0
Barracud,569962,32,0,1,0,2,21,6,1,1,0,0,0,0
Ho_Rider,13409034,32,0,0,0,16,6,0,8,0,2,0,0,0
Coolawik,13547019,32,0,0,0,0,0,0,0,28,0,0,2,2
AlexeySi,70279,31,13,0,1,0,0,0,0,0,11,6,0,0
somix,12176526,31,0,1,1,5,1,0,0,0,0,0,1,22
bes_internal,449017,30,2,1,10,5,6,0,1,0,2,2,0,1
alok1,317756,30,1,1,0,1,7,0,4,11,0,4,0,1
Aliaksei Verkhaturau,13532063,30,0,0,0,0,0,14,6,1,0,3,1,5
muchichka_s,10857625,30,0,8,1,2,16,1,0,0,0,0,2,0
40°,325737,29,13,5,0,6,4,0,1,0,0,0,0,0
СВ Кузьмин,12147539,29,2,4,0,0,8,8,1,0,6,0,0,0
avinet_ua,1538111,29,0,0,0,0,0,0,3,0,25,1,0,0
МСК,7538078,27,5,1,0,0,5,0,0,0,0,0,0,16
Claudius Henrichs,18069,27,2,0,18,0,2,0,0,0,5,0,0,0
ANRI,487733,27,0,0,0,5,4,5,0,0,0,4,3,6
Lasmin,14892180,26,0,0,0,0,22,1,3,0,0,0,0,0
DrLevsey,14481633,25,0,0,3,3,4,12,1,0,0,1,0,1
griba,6577394,25,0,0,0,0,0,0,0,18,0,5,0,2
Tomas Straupis,60129,25,3,3,4,3,1,4,1,1,0,5,0,0
